record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat,passenger_id,passenger_gender,passenger_age,passenger_nationality,booking_datetime,sales_channel,payment_method,ticket_price,currency,ticket_price_usd_est,bags_total,bags_checked
1,FR,Ryanair,FR5515,MEX,GUA,2024-01-20 10:14:00,2024-01-20 13:24:00,185.0,ON_TIME,0.0,B739,ECONOMY,37F,77e21f8e-6e79-4504-905f-636cea932c06,M,40.0,PE,2024-01-15 10:09:00,APP,EFECTIVO,77.6,USD,77.6,0,0
2,AV,Avianca,AV1170,SAP,JFK,2024-12-22 20:18:00,,,CANCELLED,,CRJ9,ECONOMY,,d44ad2a6-091a-49b9-841a-647f006c6f7b,M,42.0,CU,2024-10-03 08:42:00,APP,TARJETA,138.8,USD,138.8,1,0
3,IB,Iberia,IB2267,PTY,BOG,2025-06-18 12:16:00,2025-06-18 17:50:00,330.0,ON_TIME,0.0,A320,PREMIUM_ECONOMY,11B,4662a840-f754-403a-9eab-887d5f56b6f7,F,30.0,PE,2025-05-14 10:03:00,AEROPUERTO,TRANSFERENCIA,101.3,USD,101.3,1,0
4,DL,Delta,DL8318,HAV,MIA,2025-06-12 13:05:00,2025-06-12 17:20:00,261.0,ON_TIME,0.0,A319,ECONOMY,30E,3c53aed2-156e-44e1-9181-9e84437171dc,X,54.0,GT,2025-03-15 13:58:00,AEROPUERTO,TRANSFERENCIA,106.55,GTQ,13.64,1,0
5,WN,Southwest,WN6538,GUA,SAL,2025-10-04 05:08:00,2025-04-10 08:59:00,210.0,ON_TIME,0.0,B767,BUSINESS,10C,273782b1-130d-4e4b-a947-b75769bfaeb5,M,27.0,CR,2025-03-30 02:22:00,CALL_CENTER,TARJETA,216.66,EUR,236.16,1,0
6,UA,United,UA6940,JFK,SAL,2024-02-19 17:31:00,2024-02-19 21:00:00,218.0,ON_TIME,0.0,A320,ECONOMY,23A,90b4a7b6-1f3f-4bf6-aeac-4d287d964c71,F,27.0,GT,2024-01-20 14:34:00,WEB,TRANSFERENCIA,69.2,USD,69.2,1,0
7,AA,American Airlines,AA2698,SAL,MEX,2024-11-08 17:24:00,2024-11-09 01:09:00,417.0,DELAYED,37.0,B738,ECONOMY,22E,6e91fd6c-62ce-4182-8944-dfee8c09fa8b,M,37.0,MX,2024-03-10 03:09:00,WEB,PAYPAL,41.69,MXN,2.42,2,1
8,IB,Iberia,IB9486,MAD,PTY,2025-06-25 01:24:00,2025-06-25 08:48:00,419.0,ON_TIME,0.0,B757,ECONOMY,22C,5e00afce-4c97-45aa-9dd7-114ade2b6ba4,X,11.0,CR,2025-03-21 08:21:00,AGENCIA,TARJETA,66.9,USD,66.9,1,0
9,AM,Aeromexico,AM0129,JFK,PTY,2024-07-06 15:40:00,2024-07-06 22:17:00,387.0,ON_TIME,0.0,E190,ECONOMY,37F,5ec2a176-1021-4c12-b192-f5a26c27d7be,M,20.0,SV,2024-05-06 01:01:00,AEROPUERTO,TARJETA,90.92,USD,90.92,1,0
10,IB,Iberia,IB1233,MEX,SAL,2025-11-22 01:26:00,2025-11-22 03:30:00,99.0,ON_TIME,0.0,A319,ECONOMY,22F,eba22d5a-5e7b-4dd9-b4f3-f9c0b5b359c5,M,22.0,CU,2025-03-08 16:54:00,CALL_CENTER,TRANSFERENCIA,49.68,MXN,2.88,2,1
11,B6,Jetblue,B64066,LIM,SAL,2024-04-25 00:40:00,2024-04-25 05:03:00,265.0,ON_TIME,0.0,A321,ECONOMY,45A,e2c0910b-2c80-4069-a4ee-126d60a2fc49,M,53.0,US,2024-01-29 21:18:00,AEROPUERTO,PAYPAL,75.26,EUR,82.03,2,1
12,CM,Copa Airlines,CM5140,JFK,GUA,2024-06-04 00:18:00,2024-06-04 05:10:00,280.0,ON_TIME,0.0,A321,PREMIUM_ECONOMY,12B,7e4b4028-59eb-49e5-b69d-ed73dfcc6777,F,34.0,PE,2024-04-21 15:23:00,WEB,TRANSFERENCIA,66.78,USD,66.78,1,0
13,IB,Iberia,IB8978,GUA,SJO,2025-07-04 12:42:00,2025-07-04 17:00:00,268.0,ON_TIME,0.0,B737,PREMIUM_ECONOMY,12C,21e07948-ceca-4cf7-93ec-df4e955802df,M,26.0,CU,2025-03-08 02:03:00,AGENCIA,TARJETA,114.32,GTQ,14.63,1,0
14,FR,Ryanair,FR6292,LAX,SAP,2024-12-27 04:00:00,2024-12-27 08:49:00,271.0,ON_TIME,0.0,E190,ECONOMY,41F,21ebdba7-16cb-4925-81e3-5ba69426a662,F,19.0,ES,2024-10-21 06:20:00,AEROPUERTO,TRANSFERENCIA,92.9,USD,92.9,3,2
15,AA,American Airlines,AA4051,HAV,CUN,2024-11-26 05:17:00,2024-11-26 11:03:00,157.0,DELAYED,188.0,B777,ECONOMY,17E,b02b9caf-10e1-4377-8bdb-135a9ccf910c,F,26.0,SV,2024-09-28 00:26:00,CALL_CENTER,PUNTOS,73.55,EUR,80.17,1,0
16,CM,Copa Airlines,CM6390,SAL,MIA,2025-07-08 05:26:00,2025-08-07 08:42:00,191.0,ON_TIME,0.0,B757,ECONOMY,33A,e17e7f2d-7fcc-41c8-bb9f-7072f42fb70e,M,26.0,PE,2025-04-10 00:41:00,APP,TARJETA,155.76,USD,155.76,1,0
17,B6,Jetblue,B64559,JFK,GUA,2025-01-14 05:15:00,2025-01-14 07:59:00,157.0,ON_TIME,0.0,B738,ECONOMY,26F,2b55128f-ba79-44ed-b532-6e0b923c3a52,F,33.0,MX,2024-09-27 14:17:00,APP,PUNTOS,56.25,USD,56.25,2,1
18,BA,British Airways,BA5112,BOG,SAP,2024-10-02 10:56:00,2024-02-10 14:44:00,224.0,ON_TIME,0.0,B757,PREMIUM_ECONOMY,11A,17b4ba01-32a0-41b5-b34b-e6bb9018f748,M,44.0,GT,2023-11-22 06:41:00,APP,PAYPAL,71.73,GTQ,9.18,1,0
19,AA,American Airlines,AA8818,LIM,SJO,2025-06-20 09:59:00,2025-06-20 16:10:00,366.0,ON_TIME,0.0,CRJ9,ECONOMY,43F,d31d8eae-32b7-48b1-b64c-ae56e9845cbf,F,36.0,CR,2025-03-11 08:37:00,AEROPUERTO,PAYPAL,41.02,GTQ,5.25,0,0
20,UA,United,UA0283,SAL,BOG,2024-08-04 15:35:00,2024-04-08 22:50:00,275.0,DELAYED,155.0,CRJ9,ECONOMY,28C,c412d449-b67a-42bc-b23d-f59c13f5ad16,F,16.0,CO,2024-07-11 00:22:00,AGENCIA,TRANSFERENCIA,87.26,USD,87.26,2,1
21,AM,Aeromexico,AM2940,BCN,LIM,2025-03-05 21:29:00,2025-03-06 02:57:00,316.0,ON_TIME,0.0,A319,ECONOMY,26C,56195096-fe30-47bc-a6de-aa62f3d9281c,M,43.0,ES,2025-01-31 14:22:00,APP,TRANSFERENCIA,86.49,USD,86.49,1,0
22,WN,Southwest,WN7382,LAX,JFK,2025-06-25 16:48:00,2025-06-25 18:58:00,109.0,ON_TIME,0.0,B787,ECONOMY,25D,de70edaa-9a05-4c20-8837-63dfa03d9c81,M,32.0,MX,2025-06-18 07:53:00,CALL_CENTER,TARJETA,73.3,MXN,4.25,1,0
23,B6,Jetblue,B63684,SAL,MEX,2025-04-18 12:20:00,2025-04-18 13:58:00,95.0,ON_TIME,0.0,A319,ECONOMY,18B,4d67f77b-4318-4a9d-bfd4-9b50c2d4ce76,M,14.0,SV,2025-03-28 11:54:00,CALL_CENTER,PUNTOS,63.31,USD,63.31,0,0
24,IB,Iberia,IB2871,LIM,SAP,2025-08-04 17:35:00,2025-04-08 23:19:00,336.0,ON_TIME,0.0,B738,ECONOMY,25F,59176173-a550-473c-a59b-530ddea1e321,F,28.0,HN,2025-05-26 02:07:00,WEB,PUNTOS,117.92,USD,117.92,1,0
25,FR,Ryanair,FR7243,HAV,SJO,2025-01-16 22:25:00,2025-01-17 00:16:00,91.0,ON_TIME,0.0,B777,ECONOMY,37A,57ff6a71-ff10-4eff-9f9a-287281b35ed1,M,38.0,PA,2024-12-10 01:00:00,AEROPUERTO,TARJETA,43.94,USD,43.94,1,0
26,BA,British Airways,BA6799,BCN,SAP,2024-04-04 07:32:00,2024-04-04 08:36:00,59.0,ON_TIME,0.0,B738,ECONOMY,16E,fb0354d5-7dcc-4014-903f-6829eb9fb32b,M,38.0,SV,2024-02-04 03:51:00,APP,PAYPAL,71.18,EUR,77.59,1,0
27,IB,Iberia,IB9670,LIM,PTY,2025-03-26 10:33:00,2025-03-26 19:20:00,382.0,DELAYED,124.0,B767,ECONOMY,27C,ac03d672-7de2-4a6a-b541-cd6e1ed70986,F,25.0,PE,2025-01-25 23:38:00,APP,EFECTIVO,100.9,USD,100.9,1,0
28,AV,Avianca,AV1647,SAP,MEX,2024-04-21 23:15:00,2024-04-22 03:28:00,254.0,ON_TIME,0.0,A320,PREMIUM_ECONOMY,13C,878a31e4-1663-4007-a347-883165eda244,F,47.0,CU,2024-10-04 12:21:00,AEROPUERTO,PAYPAL,152.33,EUR,166.04,1,0
29,IB,Iberia,IB6952,MIA,BCN,2024-10-18 03:32:00,2024-10-18 07:56:00,265.0,ON_TIME,0.0,B738,ECONOMY,37B,b1484484-85cb-4601-adaf-c5012df7d5b8,M,23.0,CR,2024-06-27 14:53:00,APP,PAYPAL,73.1,MXN,4.24,0,0
30,CM,Copa Airlines,CM1592,SAL,HAV,2024-07-03 05:50:00,2024-03-07 10:02:00,240.0,ON_TIME,0.0,B738,FIRST,2A,a3e40f6c-b025-43df-8449-cd5abf98be1d,M,38.0,GT,2024-04-20 08:01:00,WEB,PUNTOS,435.48,GTQ,55.74,2,1
31,AM,Aeromexico,AM9132,SAP,LAX,2024-04-12 01:41:00,2024-04-12 03:20:00,91.0,ON_TIME,0.0,A320,ECONOMY,22B,160a23a6-8115-4847-ab03-31ee15df795f,F,27.0,CO,2024-02-03 08:43:00,AGENCIA,EFECTIVO,76.33,USD,76.33,2,1
32,AM,Aeromexico,AM6079,SJO,JFK,2025-08-04 18:35:00,2025-08-05 01:10:00,389.0,ON_TIME,0.0,B777,PREMIUM_ECONOMY,13A,2c610753-e7ee-47fb-8f90-6aeb5591c438,M,19.0,GT,2025-05-16 01:15:00,AEROPUERTO,EFECTIVO,72.35,GTQ,9.26,1,0
33,DL,Delta,DL0829,MAD,BOG,2025-05-23 16:37:00,2025-05-23 18:33:00,95.0,ON_TIME,0.0,A319,BUSINESS,6A,b37ccbf5-c063-4263-8a99-b0c5bbc9793c,M,44.0,PA,2025-03-27 08:43:00,AGENCIA,TARJETA,288.05,EUR,313.97,1,0
34,WN,Southwest,WN1787,CUN,SJO,2025-03-31 10:58:00,2025-03-31 13:37:00,155.0,ON_TIME,0.0,B787,ECONOMY,44E,16e1d9eb-0a12-4e26-9102-5695c2a0671e,M,33.0,MX,2025-03-13 17:42:00,APP,TARJETA,115.73,GTQ,14.81,0,0
35,FR,Ryanair,FR9034,BOG,MAD,2024-08-22 06:47:00,2024-08-22 11:17:00,279.0,ON_TIME,0.0,B767,ECONOMY,28D,cb4f6972-510a-4973-bc81-86a3b9d945b8,M,38.0,PA,2024-08-12 04:27:00,AEROPUERTO,EFECTIVO,64.99,USD,64.99,1,0
36,CM,Copa Airlines,CM0843,MAD,JFK,2024-11-19 02:36:00,2024-11-19 09:30:00,418.0,ON_TIME,0.0,B739,ECONOMY,24C,b704cede-87c6-4584-b538-c22841ecf7e2,F,38.0,PA,2024-11-09 23:43:00,WEB,TARJETA,139.53,USD,139.53,2,1
37,DL,Delta,DL1141,SJO,GUA,2025-01-09 12:39:00,2025-01-09 15:14:00,159.0,ON_TIME,0.0,A320,ECONOMY,19C,a889d979-0c73-44c2-ab45-fbff259afe69,M,33.0,PE,2024-09-21 18:50:00,AEROPUERTO,PUNTOS,140.84,GTQ,18.03,1,0
